Qflow static timing analysis logfile created on Thu 31 Aug 2023 02:15:39 PM +0330
Running vesta static timing analysis
vesta --long phoeniX.rtlnopwr.v /usr/local/share/qflow/tech/osu018/osu018_stdcells.lib
----------------------------------------------
Vesta static timing analysis tool
for qflow 1.3.17
(c) 2013-2018 Tim Edwards, Open Circuit Design
----------------------------------------------

Parsing library "osu018_stdcells"
End of library at line 6141

Number of paths analyzed:  568

Top 20 minimum delay paths:
Path input pin reset to DFFPOSX1_473/D delay 37.8976 ps
      0.0 ps   reset:             ->    AOI21X1_2/C
     42.9 ps  _0__1_: AOI21X1_2/Y -> DFFPOSX1_473/D

   hold at destination = -4.96546

Path input pin reset to DFFPOSX1_472/D delay 37.8976 ps
      0.0 ps   reset:             ->    AOI21X1_1/C
     42.9 ps  _0__0_: AOI21X1_1/Y -> DFFPOSX1_472/D

   hold at destination = -4.96546

Path input pin instruction_memory_interface_data[4] to DFFPOSX1_412/D delay 80.7899 ps
      0.0 ps  instruction_memory_interface_data[4]:              ->    INVX1_160/A
     42.1 ps                                 _294_:  INVX1_160/Y ->   NAND3X1_72/B
     85.8 ps                                _3__4_: NAND3X1_72/Y -> DFFPOSX1_412/D

   hold at destination = -4.96389

Path input pin instruction_memory_interface_data[1] to DFFPOSX1_409/D delay 80.7899 ps
      0.0 ps  instruction_memory_interface_data[1]:              ->    INVX1_157/A
     42.1 ps                                 _291_:  INVX1_157/Y ->   NAND3X1_71/B
     85.8 ps                                _3__1_: NAND3X1_71/Y -> DFFPOSX1_409/D

   hold at destination = -4.96389

Path input pin instruction_memory_interface_data[0] to DFFPOSX1_408/D delay 80.7899 ps
      0.0 ps  instruction_memory_interface_data[0]:              ->    INVX1_156/A
     42.1 ps                                 _290_:  INVX1_156/Y ->   NAND3X1_70/B
     85.8 ps                                _3__0_: NAND3X1_70/Y -> DFFPOSX1_408/D

   hold at destination = -4.96389

Path input pin instruction_memory_interface_data[31] to DFFPOSX1_439/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[31]:             ->    INVX1_187/A
     46.6 ps                                  _321_: INVX1_187/Y ->    NOR3X1_46/B
    118.0 ps                                _3__31_: NOR3X1_46/Y -> DFFPOSX1_439/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[30] to DFFPOSX1_438/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[30]:             ->    INVX1_186/A
     46.6 ps                                  _320_: INVX1_186/Y ->    NOR3X1_45/B
    118.0 ps                                _3__30_: NOR3X1_45/Y -> DFFPOSX1_438/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[29] to DFFPOSX1_437/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[29]:             ->    INVX1_185/A
     46.6 ps                                  _319_: INVX1_185/Y ->    NOR3X1_44/B
    118.0 ps                                _3__29_: NOR3X1_44/Y -> DFFPOSX1_437/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[28] to DFFPOSX1_436/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[28]:             ->    INVX1_184/A
     46.6 ps                                  _318_: INVX1_184/Y ->    NOR3X1_43/B
    118.0 ps                                _3__28_: NOR3X1_43/Y -> DFFPOSX1_436/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[27] to DFFPOSX1_435/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[27]:             ->    INVX1_183/A
     46.6 ps                                  _317_: INVX1_183/Y ->    NOR3X1_42/B
    118.0 ps                                _3__27_: NOR3X1_42/Y -> DFFPOSX1_435/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[26] to DFFPOSX1_434/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[26]:             ->    INVX1_182/A
     46.6 ps                                  _316_: INVX1_182/Y ->    NOR3X1_41/B
    118.0 ps                                _3__26_: NOR3X1_41/Y -> DFFPOSX1_434/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[25] to DFFPOSX1_433/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[25]:             ->    INVX1_181/A
     46.6 ps                                  _315_: INVX1_181/Y ->    NOR3X1_40/B
    118.0 ps                                _3__25_: NOR3X1_40/Y -> DFFPOSX1_433/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[24] to DFFPOSX1_432/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[24]:             ->    INVX1_180/A
     46.6 ps                                  _314_: INVX1_180/Y ->    NOR3X1_39/B
    118.0 ps                                _3__24_: NOR3X1_39/Y -> DFFPOSX1_432/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[23] to DFFPOSX1_431/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[23]:             ->    INVX1_179/A
     46.6 ps                                  _313_: INVX1_179/Y ->    NOR3X1_38/B
    118.0 ps                                _3__23_: NOR3X1_38/Y -> DFFPOSX1_431/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[22] to DFFPOSX1_430/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[22]:             ->    INVX1_178/A
     46.6 ps                                  _312_: INVX1_178/Y ->    NOR3X1_37/B
    118.0 ps                                _3__22_: NOR3X1_37/Y -> DFFPOSX1_430/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[21] to DFFPOSX1_429/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[21]:             ->    INVX1_177/A
     46.6 ps                                  _311_: INVX1_177/Y ->    NOR3X1_36/B
    118.0 ps                                _3__21_: NOR3X1_36/Y -> DFFPOSX1_429/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[20] to DFFPOSX1_428/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[20]:             ->    INVX1_176/A
     46.6 ps                                  _310_: INVX1_176/Y ->    NOR3X1_35/B
    118.0 ps                                _3__20_: NOR3X1_35/Y -> DFFPOSX1_428/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[19] to DFFPOSX1_427/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[19]:             ->    INVX1_175/A
     46.6 ps                                  _309_: INVX1_175/Y ->    NOR3X1_34/B
    118.0 ps                                _3__19_: NOR3X1_34/Y -> DFFPOSX1_427/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[18] to DFFPOSX1_426/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[18]:             ->    INVX1_174/A
     46.6 ps                                  _308_: INVX1_174/Y ->    NOR3X1_33/B
    118.0 ps                                _3__18_: NOR3X1_33/Y -> DFFPOSX1_426/D

   hold at destination = -3.66328

Path input pin instruction_memory_interface_data[17] to DFFPOSX1_425/D delay 114.294 ps
      0.0 ps  instruction_memory_interface_data[17]:             ->    INVX1_173/A
     46.6 ps                                  _307_: INVX1_173/Y ->    NOR3X1_32/B
    118.0 ps                                _3__17_: NOR3X1_32/Y -> DFFPOSX1_425/D

   hold at destination = -3.66328

-----------------------------------------

